iter	Passed	Remaining
0	2	743
1	4	727
2	6	722
3	8	735
4	10	714
5	12	701
6	15	704
7	17	697
8	18	675
9	21	684
10	22	654
11	24	644
12	26	642
13	28	638
14	30	636
15	31	626
16	33	624
17	35	617
18	37	615
19	39	621
20	42	624
21	44	627
22	45	613
23	46	603
24	48	600
25	50	597
26	52	593
27	54	591
28	56	589
29	58	587
30	59	582
31	61	579
32	63	577
33	65	574
34	67	572
35	69	570
36	71	571
37	73	569
38	75	570
39	77	570
40	79	566
41	81	563
42	83	560
43	85	560
44	87	559
45	89	556
46	90	550
47	92	549
48	94	548
49	96	546
50	98	543
51	100	541
52	102	542
53	104	541
54	106	539
55	108	535
56	110	534
57	111	530
58	113	528
59	114	523
60	116	521
61	118	518
62	120	518
63	122	515
64	124	513
65	126	511
66	128	509
67	130	507
68	132	506
69	134	505
70	136	504
71	138	503
72	140	498
73	141	495
74	143	493
75	145	491
76	147	491
77	149	489
78	151	488
79	153	486
80	155	484
81	157	481
82	159	479
83	160	476
84	162	474
85	164	473
86	166	471
87	168	469
88	169	464
89	171	463
90	173	461
91	175	459
92	177	456
93	177	452
94	180	450
95	182	449
96	183	445
97	184	443
98	186	441
99	188	438
100	190	436
101	192	435
102	194	433
103	196	431
104	197	428
105	199	427
106	201	426
107	203	423
108	204	421
109	206	419
110	208	417
111	209	413
112	211	411
113	213	410
114	215	409
115	217	406
116	219	405
117	221	403
118	223	401
119	225	400
120	227	399
121	230	398
122	232	396
123	234	395
124	236	393
125	238	391
126	240	389
127	241	387
128	243	385
129	245	383
130	247	382
131	249	380
132	251	378
133	252	375
134	254	373
135	256	371
136	258	370
137	261	369
138	263	368
139	265	366
140	267	364
141	268	361
142	270	358
143	271	356
144	273	354
145	275	352
146	277	350
147	279	348
148	281	347
149	283	345
150	285	343
151	286	341
152	288	339
153	290	337
154	292	336
155	294	334
156	296	332
157	298	330
158	300	328
159	302	327
160	303	323
161	305	321
162	307	320
163	309	318
164	311	316
165	313	315
166	315	313
167	317	312
168	319	310
169	321	308
170	324	307
171	326	305
172	328	304
173	330	302
174	333	300
175	335	299
176	337	297
177	339	295
178	341	293
179	343	291
180	345	289
181	347	287
182	349	286
183	351	284
184	353	282
185	355	281
186	357	279
187	358	276
188	360	274
189	361	272
190	364	270
191	365	268
192	367	266
193	370	265
194	372	263
195	374	261
196	376	259
197	378	258
198	380	256
199	381	253
200	383	251
201	385	249
202	387	247
203	389	246
204	391	244
205	393	242
206	395	240
207	397	238
208	399	236
209	401	235
210	403	233
211	405	231
212	407	229
213	409	227
214	411	225
215	412	223
216	414	221
217	416	219
218	418	217
219	420	215
220	422	213
221	423	211
222	425	209
223	426	207
224	428	205
225	430	204
226	433	202
227	435	200
228	437	198
229	438	196
230	440	194
231	442	192
232	444	190
233	446	188
234	448	186
235	450	185
236	452	183
237	454	181
238	456	179
239	457	177
240	459	175
241	460	173
242	462	171
243	465	169
244	467	167
245	469	166
246	471	164
247	473	162
248	474	160
249	477	158
250	479	156
251	480	154
252	481	152
253	483	150
254	485	148
255	487	146
256	489	144
257	491	142
258	492	140
259	495	138
260	497	137
261	499	135
262	500	133
263	502	131
264	504	129
265	506	127
266	508	125
267	511	124
268	515	122
269	517	120
270	520	118
271	522	117
272	524	115
273	525	113
274	527	111
275	530	109
276	532	107
277	534	105
278	536	103
279	538	101
280	540	100
281	543	98
282	545	96
283	547	94
284	549	92
285	551	90
286	553	88
287	555	86
288	558	84
289	559	83
290	561	81
291	562	79
292	564	77
293	565	75
294	567	73
295	568	71
296	570	69
297	572	67
298	573	65
299	574	63
300	575	61
301	577	59
302	579	57
303	581	55
304	582	53
305	585	51
306	587	49
307	589	47
308	591	45
309	593	44
310	595	42
311	597	40
312	599	38
313	601	36
314	603	34
315	605	32
316	608	30
317	610	28
318	612	26
319	614	24
320	616	23
321	618	21
322	620	19
323	623	17
324	624	15
325	626	13
326	629	11
327	631	9
328	633	7
329	635	5
330	635	3
331	637	1
332	639	0
